,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,A.1_Expected Annual Damage,A.1_Dike Investment Costs,A.1_Expected Number of Deaths,A.2_Expected Annual Damage,A.2_Dike Investment Costs,A.2_Expected Number of Deaths,A.3_Expected Annual Damage,A.3_Dike Investment Costs,A.3_Expected Number of Deaths,A.4_Expected Annual Damage,A.4_Dike Investment Costs,A.4_Expected Number of Deaths,A.5_Expected Annual Damage,A.5_Dike Investment Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
414,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,8,3,6,0,7,6,2,6,3,6,4,1,6,0.0,148109603.73393282,0.0,0.0,120892243.43187523,0.0,0.0,108256283.37658635,0.0,4702314.2300778655,39958772.73798215,0.0006091808898939428,22265674.280274402,109657142.11399584,0.005461565472376865,1141600000.0,638.7090715262377
415,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,3,6,7,4,1,8,8,5,7,6,9,7,1,6,0,1,0.0,218132239.6791981,0.0,544407.9317451246,232276508.48647714,4.913768739076511e-05,0.0,116271970.1880647,0.0,1187086.8946125847,48262091.11671945,6.187043814301032e-05,58057600.59147827,70903162.7249229,0.004825977098769172,710400000.0,2800.8598068577276
416,0,0,1,1,0,1,0,1,1,1,1,0,1,1,0,0,6,6,6,2,6,5,0,5,4,5,0,5,4,1,2,0.0,225866263.47724932,0.0,0.0,191186060.612126,0.0,988324.7296876564,60031921.43603267,0.0013370467276546956,21054214.508466788,24162426.948826768,0.007070260211717761,8897317.148776315,94639238.49165699,0.006168294548627244,1336200000.0,0.0
417,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,3,6,1,5,2,2,5,6,9,6,4,3,0,5,2,0.0,153687765.7291555,0.0,0.0,164233797.24580663,0.0,0.0,124708802.07115173,0.0,3439170.513639952,36276341.58441119,0.0012060267163862845,86115518.12922569,69299973.72589847,0.055368817552604234,1572700000.0,0.0
418,1,1,1,1,0,1,0,0,0,1,0,1,1,0,1,2,6,6,1,4,0,6,6,7,6,0,2,0,1,6,5,0.0,183927748.79206374,0.0,0.0,128904282.88717857,0.0,0.0,121861417.61353019,0.0,126469793.22041434,7332080.219521779,0.005188180192797366,0.0,113089000.65111418,0.0,1444000000.0,6179.105587347588
419,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,3,5,6,6,2,7,9,6,0,6,6,0,2,7,0,0,0.0,213664639.9705635,0.0,0.0,242998371.79069293,0.0,0.0,69810785.89520885,0.0,13108085.897873757,21556221.14781617,0.0005626203412452499,8751770.406638606,44193513.54513965,0.0007273079741472297,1586400000.0,1130.2505171372757
420,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,3,5,2,6,6,0,4,6,7,6,7,2,0,6,4,4,0.0,174860273.37080485,0.0,0.0,131321771.566306,0.0,0.0,121861417.61353019,0.0,6249533.003268568,23537919.412238494,0.0002938231364356968,0.0,127811755.59329896,0.0,831600000.0,322.0855371338449
421,0,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,2,6,6,0,7,3,7,2,6,6,0,3,7,4,5,0.0,181635071.1423083,0.0,3882661.268534937,133844205.0086204,0.001045318401544882,0.0,104753225.25215748,0.0,6774567.446095653,22928006.72310114,0.0008435372559375227,0.0,139497823.77407175,0.0,1480600000.0,259.78567919555223
422,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,2,4,9,3,6,1,7,4,5,8,10,2,6,4,7,0.0,192737917.59016538,0.0,0.0,172641808.18109342,0.0,0.0,109301871.02003656,0.0,3301141.054226561,56203854.35093235,0.00048216655209608295,11935151.964413496,142947562.0063744,0.002957833912443635,710400000.0,353.0132755075713
423,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,3,2,2,6,1,0,0,4,7,6,6,6,7,7,7,5,0.0,146551506.34123784,0.0,11820718.122406818,38245121.951764055,0.0010743061553110493,0.0,110986669.21857975,0.0,18427292.135655057,49328285.45284578,0.0007747116717939368,0.0,158811403.67371178,0.0,1250200000.0,1495.984385726017
424,1,0,0,1,0,0,1,1,1,1,0,1,0,1,1,3,2,5,6,3,2,7,6,6,8,0,0,0,6,4,6,0.0,171796527.05181122,0.0,0.0,181929770.05412728,0.0,0.0,125611804.14945868,0.0,162343149.41206503,0.0,0.005003459213377593,0.0,137462375.29814526,0.0,1149100000.0,10019.744604108879
425,1,0,0,1,1,1,0,0,1,0,0,1,1,1,1,1,2,4,2,2,3,2,6,7,6,6,2,0,7,7,6,0.0,134005503.41252983,0.0,0.0,144638102.10542652,0.0,0.0,121861417.61353019,0.0,8152777.580512333,21556221.14781617,0.0010788742440492746,0.0,164568879.78613022,0.0,1658200000.0,213.08776510810324
426,0,0,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,5,1,2,0,1,6,6,7,6,5,0,0,6,10,0.0,128509281.34294224,0.0,0.0,83721931.52190953,0.0,0.0,121026986.78367361,0.0,4548710.518922366,26127534.665142894,0.0005861340622077243,158974955.02761492,111444548.3610995,0.03702280092969011,1469400000.0,4044.760006533388
427,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,2,5,9,6,6,7,7,7,4,0,6,0,10,3,6,3,0.0,252021054.83795828,0.0,0.0,269209918.9262564,0.0,0.0,67626108.28683192,0.0,24914690.62766605,37523813.06187063,0.0013269950037313085,677796.6561020254,115965160.7048629,6.6882377248258e-05,690800000.0,1132.3902444540502
428,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,2,7,4,1,4,1,4,7,7,6,9,0,3,4,6,5,0.0,175989008.17388105,0.0,0.0,160225076.80785978,0.0,0.0,127775366.75848815,0.0,2374173.7892251695,29582406.110525247,0.00015467609535752582,65589775.386843055,130767271.32064351,0.006678866348331704,1012800000.0,2610.7642053279087
429,0,0,1,1,0,1,1,0,0,1,0,0,1,0,1,2,4,2,6,1,7,6,7,5,6,1,0,0,0,6,0,0.0,164741366.99800193,0.0,544407.9317451246,200478803.72368535,6.14221092384564e-05,0.0,117647827.79553828,0.0,156602339.8902918,6320800.309666242,0.006611428144852063,25136927.251757313,40273672.383724004,0.0023326735601495218,1184300000.0,8696.661400170897
430,1,1,1,0,0,1,0,0,0,1,0,1,1,0,1,1,2,3,6,2,0,1,7,3,6,7,6,0,5,5,1,0.0,154311096.58843052,0.0,0.0,83721931.52190953,0.0,0.0,108773550.42496385,0.0,2882849.03542846,30185557.33409556,0.00038438295469337807,6855377.587696168,115098409.19196975,0.0016781781408744922,1226200000.0,233.46742926386864
431,1,0,1,0,0,1,0,0,0,1,0,1,1,0,1,3,1,1,0,5,1,0,7,5,2,0,0,1,7,6,1,0.0,66507014.9338145,0.0,0.0,104651657.86617124,0.0,0.0,103832686.77117428,0.0,154990662.11389428,6320800.309666242,0.0048286484957731236,0.0,133897484.80708233,0.0,1141600000.0,9539.50739767736
432,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,3,7,7,6,5,4,3,5,9,0,3,3,1,5,0.0,117657018.40774402,0.0,0.0,248824969.30681318,0.0,0.0,90516936.7066327,0.0,2252909.9823295544,29582406.110525247,0.0009506679700461962,162688856.5706535,99996697.59630913,0.11008191733185714,1184300000.0,0.0
433,1,0,1,0,0,0,1,1,0,1,1,1,0,1,0,2,7,7,5,0,9,8,5,0,5,1,4,1,6,0,6,0.0,240736110.61674637,0.0,532378.0633764667,199968662.94333172,5.889858880715023e-05,0.0,62865075.42438113,0.0,59319022.06146534,23824394.887862902,0.002505312684231405,0.0,89542814.51096618,0.0,850300000.0,2888.7653616964685
434,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,5,4,4,1,6,6,7,7,5,7,5,3,4,6,2,0.0,175316766.85495794,0.0,0.0,190104783.43761247,0.0,0.0,123613076.33425403,0.0,5207259.045929665,40916860.84976648,0.0007211097009873222,6040424.624394086,118035460.94592947,0.0014499130011200333,575500000.0,274.2526041466226
435,1,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,1,2,6,0,5,2,6,5,6,6,1,4,3,6,7,0.0,138379858.76624286,0.0,3825083.162934265,110061574.43848997,0.0010163306477787128,0.0,112068510.66038358,0.0,10537941.755580574,32585053.787652515,0.0014027340394086006,84255342.63133207,134694786.6539021,0.020210995807943378,864000000.0,2338.1455444323337
436,1,0,0,1,0,1,0,1,0,1,0,1,1,1,1,2,3,4,5,6,1,5,5,8,9,4,0,0,6,2,5,0.0,163497939.05673763,0.0,0.0,187995992.34173003,0.0,0.0,135756750.48975337,0.0,58795894.67113434,9695195.36216505,0.0027396586620136304,0.0,121999258.20261109,0.0,1561600000.0,2765.845917439544
437,1,1,1,0,0,0,1,1,0,1,0,1,0,0,1,0,1,5,5,6,0,7,9,9,6,4,0,1,1,5,2,0.0,154539421.81426284,0.0,0.0,155736187.608082,0.0,0.0,153044873.59901068,0.0,72770486.9867918,16925244.491970196,0.024114539928479374,12128247.871041767,96705227.21019611,0.007710523569593819,813700000.0,0.0
438,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,1,5,7,1,6,3,7,6,0,7,6,4,2,0.0,32694901.094161935,0.0,0.0,203375519.163827,0.0,0.0,107306943.94900325,0.0,59645574.70630619,30033571.88243507,0.002517878291670537,0.0,119697147.28810029,0.0,558500000.0,3310.0216793881577
439,0,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,2,5,7,6,6,0,6,5,5,7,9,2,6,4,5,0.0,181186165.6944571,0.0,0.0,146841946.52894095,0.0,0.0,108305326.2918388,0.0,920306.5194422349,49768588.13915981,0.00012185056321788275,0.0,132428957.66281432,0.0,1549600000.0,24.119423616099777
440,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,2,6,6,3,0,6,7,5,7,0,1,2,3,4,5,0.0,181635071.1423083,0.0,0.0,120892243.43187523,0.0,0.0,121872393.88035336,0.0,174178031.3569995,13903423.98391871,0.01817456989299776,0.0,113670394.66862908,0.0,442300000.0,5036.114887836635
441,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,1,4,5,3,7,1,6,7,6,7,1,0,7,7,4,0.0,146023907.9151004,0.0,0.0,182451541.5219873,0.0,0.0,121861417.61353019,0.0,8418419.824179258,22258486.725668453,0.0011854485988754442,0.0,153530015.84790388,0.0,966500000.0,210.6476809446333
442,1,1,1,0,0,1,0,0,0,1,1,1,1,0,1,3,0,6,1,5,7,6,6,6,5,3,7,6,4,0,2,0.0,100714900.1874114,0.0,0.0,244981143.34573078,0.0,0.0,112910645.1005051,0.0,19132062.94324305,41840306.64635611,0.0007076000100606663,14720069.821655579,64922482.303728715,0.0011975670709996175,1347400000.0,1824.875158734158
443,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,3,1,4,6,1,1,6,6,0,5,6,5,0,5,2,4,0.0,154002586.64038622,0.0,0.0,148432968.6674199,0.0,0.0,66629563.55863415,0.0,6021131.405078393,26127534.665142894,0.00025520531149135836,24518895.28973086,111527425.78003494,0.002019992739040919,1858100000.0,1491.9776597946684
444,0,0,1,0,0,1,0,0,1,1,0,0,1,1,1,2,3,5,6,2,0,2,6,7,6,7,5,2,4,5,2,0.0,181430221.6229285,0.0,0.0,88613111.95505467,0.0,0.0,121861417.61353019,0.0,2921373.522789297,39238675.21442496,0.0001635102800953818,65469351.298774324,112645910.09370865,0.006657247741351623,1222600000.0,2644.7876044112572
445,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,3,7,4,2,7,1,5,7,7,6,9,0,3,7,6,7,0.0,182588475.12473074,0.0,0.0,199433505.39254242,0.0,0.0,127775366.75848815,0.0,2228657.220950432,29582406.110525247,0.00011214801242944819,1307324.5346984176,163546580.1863483,0.00010912448257518528,747000000.0,169.55244261091366
446,0,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,3,2,6,5,0,5,6,6,6,5,2,0,4,1,5,0.0,155322556.95399606,0.0,0.0,129688488.72986558,0.0,0.0,116802420.6988585,0.0,5650297.878780405,19742157.81013341,0.0007062551944376246,0.0,105402123.21439943,0.0,1682800000.0,152.9480602063623
447,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,3,0,2,6,7,1,5,4,3,5,9,7,0,3,1,5,0.0,102192937.55533153,0.0,0.0,199433505.39254242,0.0,0.0,90516936.7066327,0.0,1126454.9911647772,37441554.88587584,5.704007820277177e-05,163132095.0704353,99996697.59630913,0.013249076436074047,1286800000.0,7876.8499625673985
448,1,0,0,1,1,1,0,0,1,0,0,1,1,1,0,1,2,2,1,2,0,0,5,6,7,6,5,7,0,6,10,0.0,114498063.14503726,0.0,0.0,42818415.6714978,0.0,0.0,115465110.44597763,0.0,6480434.015399046,46766364.42826242,0.0008497733638308133,289318216.07601416,111444548.3610995,0.06772859957205096,1402100000.0,7265.007718445875
449,0,0,0,1,1,1,0,1,0,1,0,0,1,1,0,3,1,5,6,1,0,1,7,7,6,6,6,0,0,7,5,0.0,162790738.81847763,0.0,1088815.8634902493,77797112.44472042,9.827537478153022e-05,0.0,127775366.75848815,0.0,6480434.015399046,27984209.217288204,0.00028325778794360444,274920955.2039552,90595441.88119246,0.02138733399403968,1317500000.0,14348.609173428027
450,1,0,1,1,1,0,0,0,1,1,0,1,1,1,0,1,7,6,0,4,0,1,5,6,6,0,2,3,0,5,2,0.0,144956226.29360634,0.0,0.0,97105266.60422453,0.0,0.0,111380131.5841473,0.0,100819195.43311806,16373078.863592021,0.010000192676154833,0.0,69299973.72589847,0.0,1390100000.0,2960.0977398118716
451,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,3,1,7,1,2,3,1,6,7,7,6,4,1,7,2,2,0.0,145940066.0722279,0.0,0.0,139228185.5331078,0.0,0.0,126230340.73617607,0.0,3439170.513639952,33292100.843263462,0.00014472320596635414,0.0,116400603.98191449,0.0,1790500000.0,191.22846556889652
452,1,1,1,1,0,1,0,0,1,1,0,1,0,0,1,2,5,4,5,1,7,9,6,0,5,7,3,2,7,6,1,0.0,183603921.04028857,0.0,0.0,231810774.11384168,0.0,0.0,66629563.55863415,0.0,4020875.782318136,35216646.05860828,0.00022709390500781087,0.0,133897484.80708233,0.0,1218600000.0,171.96027304060522
453,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,2,2,7,1,6,3,5,4,6,7,2,4,6,7,5,0.0,155040808.56785768,0.0,0.0,167075797.82499802,0.0,0.0,102517708.71215674,0.0,920306.5194422349,36656511.13181695,0.00012185056321788275,0.0,151104382.32237512,0.0,1798100000.0,24.119423616099777
454,0,0,1,0,1,1,1,0,1,1,0,1,1,0,0,2,6,4,2,0,0,6,7,4,6,5,4,6,4,7,4,0.0,171385169.65261877,0.0,7611780.922134752,66045103.44010488,0.0008388900526583255,0.0,113065055.38858135,0.0,25371157.606072485,39568339.24242337,0.0012758195041923741,0.0,132229761.24088266,0.0,1080100000.0,1404.8354412496547
455,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,2,1,4,6,2,3,5,6,6,6,5,2,6,0,3,0,0.0,154002586.64038622,0.0,0.0,164265016.39680213,0.0,0.0,116802420.6988585,0.0,4729991.35933817,35666063.36272972,0.00024350192967489246,123747083.0872068,30351526.042379983,0.012030883812791167,1713500000.0,5268.164932459
456,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,2,3,7,5,0,9,0,6,7,7,6,7,0,4,1,6,0.0,193182852.58200318,0.0,532378.0633764667,89992006.20155807,5.889858880715023e-05,0.0,126230340.73617607,0.0,6297127.572028336,30033571.88243507,0.0003397519041312243,7487509.186175714,109657142.11399584,0.0007692056568353628,509600000.0,580.1996909457625
457,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,2,5,9,1,6,7,7,6,4,0,6,3,5,0,6,4,0.0,207167420.8939544,0.0,0.0,269209918.9262564,0.0,0.0,63699598.27434066,0.0,31786164.62131983,37905187.80764773,0.0016984050991132732,266148667.12910262,81105853.85915002,0.025678085998119153,485000000.0,12405.917498270404
458,0,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,5,7,5,3,5,6,7,0,3,6,6,0,4,7,6,0.0,215352213.86650074,0.0,0.0,199966545.06619623,0.0,0.0,64835987.44502628,0.0,3439170.513639952,27984209.217288204,0.0012060267163862845,4805952.612066079,142210150.87851104,0.0032063091201347538,1542000000.0,0.0
459,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,2,1,5,6,1,0,5,6,7,7,6,3,3,7,6,10,0.0,162790738.81847763,0.0,0.0,99685318.93337613,0.0,0.0,126230340.73617607,0.0,2235717.2965020156,34366332.62251639,0.00011668393411353521,0.0,185188896.2513928,0.0,1816000000.0,100.53671238458179
460,1,1,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,2,2,5,1,5,6,7,10,6,2,3,5,5,5,0.0,77099991.75787257,0.0,0.0,177331516.24113327,0.0,0.0,141697681.32362324,0.0,5523583.883524206,32616604.291492917,0.0020136189985548196,0.0,131385962.25230521,0.0,1339800000.0,0.0
461,0,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,0,3,2,1,4,0,6,6,7,6,7,0,0,5,6,0.0,83497824.69174261,0.0,0.0,93427003.66768599,0.0,0.0,121026986.78367361,0.0,4548710.518922366,30033571.88243507,0.0005861340622077243,166354358.425735,84317877.34823732,0.03882753976504689,1233700000.0,4215.3169734306775
462,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,2,2,6,5,4,9,0,6,7,7,7,7,7,4,1,5,0.0,172810210.38505024,0.0,0.0,156295954.0347702,0.0,0.0,126230340.73617607,0.0,7384370.535750502,55132637.76085901,0.0004346085102765668,92502925.77426624,105402123.21439943,0.009405142510765682,400400000.0,3865.8504214497652
463,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0,4,5,5,7,2,6,7,4,10,6,3,2,2,2,0.0,109584413.64186119,0.0,0.0,210219938.82131863,0.0,0.0,114129776.63094811,0.0,0.0,52468393.01195797,0.0,107076916.02315369,88618770.75980482,0.07196301913081712,1638600000.0,0.0
464,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,0,0,1,7,2,2,5,6,3,4,8,6,1,5,1,2,0.0,103162272.08375776,0.0,0.0,156569374.12950498,0.0,0.0,96728143.1732024,0.0,980938.4228900404,42694245.671275094,0.00037872678621832766,8419859.01850703,100032176.89964801,0.005760725328653932,1426700000.0,0.0
465,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,6,3,6,5,6,5,4,4,4,2,2,1,0,0,5,0.0,194611727.85397255,0.0,0.0,223512939.07250154,0.0,0.0,91150900.80101892,0.0,50402368.41187967,22403857.762533523,0.005405276505673689,33036416.042896956,36676675.840294495,0.0073422445450829835,1626600000.0,2314.8268061060567
466,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,3,3,7,6,0,6,1,6,7,7,6,4,0,4,1,5,0.0,202621123.7507406,0.0,532378.0633764667,112832601.01821715,4.7118871045720177e-05,0.0,126230340.73617607,0.0,6297127.572028336,24447158.301910475,0.00027180152330497944,7487509.186175714,105402123.21439943,0.0006153645254682902,727400000.0,720.8127925161473
467,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,3,7,5,4,10,0,6,7,8,6,6,0,3,2,1,0.0,193182852.58200318,0.0,0.0,167200725.85303292,0.0,0.0,130971825.23430848,0.0,4482013.557186358,27984209.217288204,0.0005740701166204215,11935774.665505275,90472013.62775448,0.002911694950604772,1014200000.0,397.4637654802189
468,0,0,0,1,0,1,0,0,1,1,1,0,1,1,1,2,0,5,6,1,0,2,6,7,6,7,3,3,7,5,5,0.0,125797238.44921103,0.0,0.0,82526679.5239558,0.0,0.0,121861417.61353019,0.0,1892854.1833849486,36785763.35688788,0.00010421405064022768,0.0,145485981.7145654,0.0,1477000000.0,82.41579138644283
469,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,3,1,2,1,7,3,0,6,7,7,6,3,0,1,4,2,0.0,107385518.6904647,0.0,0.0,133844205.0086204,0.0,0.0,126230340.73617607,0.0,8733343.997728601,22928006.72310114,0.00039733794434914803,229592267.1647274,92178153.16056897,0.01831529219972734,966500000.0,11724.042009443481
470,0,1,1,1,1,0,0,1,0,1,1,0,1,1,0,2,4,5,1,2,5,5,0,7,6,6,3,2,5,1,1,0.0,153823961.45335865,0.0,0.0,181521468.0782459,0.0,7180616.147564474,73946120.41768885,0.001470945621299824,4569361.972471131,32849061.76758905,0.00024058549164571744,17743163.406536564,96923603.35265538,0.001844791530585776,1390100000.0,1063.9016936684488
471,0,0,1,0,1,1,1,1,1,1,0,1,1,0,1,2,1,4,4,0,0,6,6,6,6,6,2,7,0,6,5,0.0,138778943.76610827,0.0,0.0,66045103.44010488,0.0,0.0,116802420.6988585,0.0,5602407.225949775,40216072.72795172,0.0003082770837629921,150077637.8788386,85142397.97480127,0.014500922871743463,1366900000.0,6421.776783919542
472,0,0,1,1,1,0,1,1,0,0,1,1,1,0,0,3,0,4,2,4,6,6,7,7,7,9,4,0,7,6,4,0.0,90462322.17815001,0.0,0.0,221323773.52859193,0.0,0.0,132293579.72246529,0.0,1114328.610475216,31262671.930688452,5.6074006214724094e-05,1307324.5346984176,146805539.64026228,0.00010912448257518528,1080100000.0,115.32734953274363
473,0,0,0,1,0,0,0,1,1,1,1,1,0,1,0,3,4,0,6,7,1,2,6,7,9,6,6,3,0,5,1,0.0,117299462.54481953,0.0,0.0,177725050.68724,0.0,0.0,136116555.4378444,0.0,4482013.557186358,40635631.443198405,0.00019135670554014047,85027347.95682682,66294113.011456475,0.006543316451843046,898900000.0,4631.022515502238
474,1,1,1,0,0,1,0,1,0,0,1,1,1,1,1,2,1,4,1,4,0,6,6,7,6,6,2,0,1,5,4,0.0,120853849.86392611,0.0,0.0,128904282.88717857,0.0,0.0,121861417.61353019,0.0,5478863.208812162,21556221.14781617,0.0003006533932406104,161559991.9820236,103799344.79743059,0.015710020439527586,1513000000.0,6839.8860366920035
475,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,3,1,6,6,1,1,6,6,0,5,0,5,0,5,1,5,0.0,172304199.80689174,0.0,544407.9317451246,148432968.6674199,4.913768739076511e-05,0.0,66629563.55863415,0.0,108996906.99728853,11068771.68625446,0.003914763329770128,0.0,111162838.60253373,0.0,1571300000.0,6458.021008472535
476,0,0,1,1,1,1,0,0,1,0,0,1,1,1,0,0,1,5,1,2,1,0,3,5,4,5,5,5,3,1,10,0.0,128509281.34294224,0.0,0.0,83721931.52190953,0.0,0.0,90596663.84188202,0.0,24721819.867843576,39651391.12612492,0.00823710461196573,72614909.69820036,124589423.38536836,0.04931541669651035,1402100000.0,0.0
477,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,2,6,0,6,5,1,2,6,7,6,6,5,3,3,2,2,0.0,134996357.6629468,0.0,0.0,157033933.49482566,0.0,0.0,121861417.61353019,0.0,6297127.572028336,38360931.261942774,0.0003397519041312243,7487509.186175714,93477874.34219648,0.0007692056568353628,727400000.0,562.9331694331547
478,1,0,1,1,1,1,0,1,1,0,0,1,1,1,0,1,3,5,1,0,3,2,6,7,6,7,5,0,1,6,2,0.0,144765882.0244219,0.0,3825083.162934265,95202239.80249318,0.0010163306477787128,0.0,121861417.61353019,0.0,4057507.7401815276,28265438.623856276,0.0005529606755777873,195661927.41979665,101577994.71398854,0.04667251791948655,1517400000.0,4851.9860730093405
479,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,2,2,3,6,7,6,2,9,4,6,8,3,5,7,1,2,0.0,154311096.58843052,0.0,0.0,223145243.47532117,0.0,0.0,124932905.69878769,0.0,1041570.3263378479,43187535.22206935,6.284696785804734e-05,0.0,111952814.85055783,0.0,868200000.0,42.29518692745589
480,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,3,5,5,3,7,5,6,0,4,6,7,5,0,2,5,5,0.0,176998714.00410607,0.0,0.0,247322351.75781894,0.0,30576229.657123502,62318902.73577461,0.005016369761508793,2876991.180872404,28265438.623856276,0.00011913670070009771,191729889.16686147,113206206.35935302,0.015216287116915146,1153600000.0,10626.245336647002
481,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,3,2,2,6,2,1,5,1,4,6,6,2,1,7,0,5,0.0,146551506.34123784,0.0,0.0,149432797.19150826,0.0,7180616.147564474,84747680.59219497,0.001176756497039859,5756010.937105275,29826314.78444877,0.0002543039429057998,0.0,90595441.88119246,0.0,1220900000.0,545.8574794169022
482,1,0,1,0,1,0,0,0,0,1,0,1,1,0,1,3,5,1,5,1,3,6,6,6,6,7,0,0,1,2,5,0.0,158676229.48838806,0.0,3901853.970401827,163268356.78208596,0.0003516603287112015,0.0,116802420.6988585,0.0,8648547.10628538,14261651.781499248,0.00038438295469337807,196011703.8154365,94124251.45002009,0.015317054877940574,1141600000.0,10497.642959604347
483,0,1,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,4,1,5,6,2,6,5,0,1,6,2,0,5,1,0.0,85246019.34861892,0.0,0.0,199502185.3342409,0.0,0.0,66629563.55863415,0.0,73459907.3147693,28613615.978493378,0.021684591756962794,54080661.24548061,66294113.011456475,0.03584861398317808,1043500000.0,0.0
484,1,0,1,1,0,1,0,0,1,1,0,1,1,1,0,1,5,5,7,5,2,6,1,7,6,6,3,0,2,0,2,0.0,213168125.67203605,0.0,0.0,193619314.78877616,0.0,7180616.147564474,96772210.25102626,0.0035302694911195772,4855917.941233365,22928006.72310114,0.0006322277175801613,160145686.86075747,57073405.013273194,0.038367056099309425,1390100000.0,4041.1361198422874
485,1,0,1,1,0,1,0,0,1,1,0,0,1,1,1,3,2,6,4,1,1,6,1,0,5,7,9,0,4,0,1,0.0,164796878.60324055,0.0,544407.9317451246,148432968.6674199,4.913768739076511e-05,14433123.285262553,50081750.628976494,0.0023745233317657988,2906020.1341951126,37216848.52139987,0.00012958506615126831,172470932.69195032,62015940.60605301,0.01408827130465706,1525000000.0,8863.796381741677
486,0,1,1,1,1,1,0,0,1,1,0,0,1,0,1,3,6,6,6,4,0,6,7,0,5,0,1,0,4,7,4,0.0,225866263.47724932,0.0,0.0,128904282.88717857,0.0,0.0,70656192.99188861,0.0,163954827.1884626,6320800.309666242,0.00546395323348612,0.0,132229761.24088266,0.0,1486700000.0,9904.22138949523
487,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,2,1,2,2,6,0,1,6,7,7,6,3,0,6,5,5,0.0,112429465.54032746,0.0,0.0,112832601.01821715,0.0,0.0,126230340.73617607,0.0,8733343.997728601,22928006.72310114,0.0004966724304364351,0.0,138219256.1495969,0.0,966500000.0,371.11794940425307
488,1,1,1,0,1,1,0,0,0,0,1,1,1,1,0,2,1,4,1,4,0,6,6,7,6,6,1,3,0,1,1,0.0,120853849.86392611,0.0,0.0,128904282.88717857,0.0,0.0,121861417.61353019,0.0,7431559.554350827,31013991.49954664,0.0004043820903754594,373233783.2141833,50929971.20054293,0.03634263601271201,1444000000.0,15536.640605521712
